"""GRPCOL""","""HUM""","""TEMP""","""PWRA"""
43581.41319,38,32.8,1640.6
43581.41667,38,32.8,1640.2
43581.42014,38,32.9,1640.8
43581.42361,38,32.9,1657.6
43581.42708,38,33,1533.6
43581.43056,38,33,1411.2
43581.43403,38,33.1,1429.4
43581.4375,38,33.1,1419.6
43581.44097,38,33.2,1413.8
43581.44444,38,33.2,1383.8
43581.44792,38,33.3,1380.2
43581.45139,38,33.4,1386
43581.45486,38,33.4,1413
43581.45833,37,33.5,1362.6
43581.46181,37,33.6,1350.6
43581.46528,37,33.6,1389.6
43581.46875,37,33.7,1485.8
43581.47222,37,33.7,1479.4
43581.47569,37,33.8,1608
43581.47917,37,33.9,1663.2
43581.48264,37,34,1506
43581.48611,37,34.1,1246.6
43581.48958,37,34.1,1148.6
43581.49306,37,34.2,1085.4
43581.49653,37,34.2,1098.8
43581.5,37,34.3,1100.8
43581.50347,37,34.4,814.2
43581.50694,37,34.5,796.8
43581.51042,36,34.6,1736.6
43581.51389,36,34.7,1523
43581.51736,36,34.8,1456.8
43581.52083,35,34.9,1498
43581.52431,35,35,1517.2
43581.52778,34,35.1,1518.2
43581.53125,34,35.2,1452.4
43581.53472,34,35.3,1436.8
43581.53819,34,35.4,1480
43581.54167,33,35.4,1529.6
43581.54514,33,35.5,1643.4
43581.54861,33,35.6,1654.2
43581.55208,32,35.7,1667.4
43581.55556,32,35.8,1510.4
43581.55903,32,35.9,1490.2
43581.5625,32,36,1510.6
43581.56597,32,36.1,1522.2
43581.56944,32,36.2,1438.2
43581.57292,32,36.3,1401.6
43581.57639,32,36.4,1435.4
43581.57986,31,36.5,1434.6
43581.58333,31,36.6,1408.8
43581.58681,31,36.6,1392.4
43581.59028,30,36.7,1397.2
43581.59375,31,36.5,1395.8
43581.59722,31,36.5,1394.6
43581.60069,31,36.5,1389.8
43581.60417,31,36.5,1496
43581.60764,31,36.6,1684.6
43581.61111,30,36.7,1691.2
43581.61458,30,36.7,1684.6
43581.61806,30,36.8,1673.4
43581.62153,29,36.9,1667.6
43581.625,29,37,1656
43581.62847,28,37,1675.2
43581.63194,28,37.1,1706.8
43581.63542,28,37.2,1706.4
43581.63889,27,37.3,1713.2
43581.64236,27,37.3,1710.4
43581.64583,27,37.3,1655.6
43581.64931,28,37.5,1643.2
43581.65278,28,37.7,1642.6
43581.65625,28,37.9,1633.6
43581.65972,28,38,1525.4
43581.66319,27,38,1412.6
43581.66667,27,38.1,1427.4
43581.67014,27,38.2,1422.4
43581.67361,27,37.9,1463.6
43581.67708,27,37.8,1437.2
43581.68056,27,37.8,1445.6
43581.68403,27,37.8,1472
43581.6875,27,38,1612
43581.69097,27,38.2,1616
43581.69444,27,38.3,1617.8
43581.69792,27,38.4,1567.6
43581.70139,27,38.5,1459.2
43581.70486,26,38.4,1453.2
43581.70833,27,38.1,1463.2
43581.71181,27,38.1,1464.8
43581.71528,27,38,1468
43581.71875,27,38,1585.8
43581.72222,27,38,1646.4
43581.72569,27,38.1,1646.2
43581.72917,27,38.3,1644.6
43581.73264,27,38.4,1584.6
43581.73611,27,38.5,1680.8
43581.73958,27,38.6,1546.8
43581.74306,27,38.6,1480.6
43581.74653,27,38.6,1421
43581.75,27,38.3,1383.8
43581.75347,27,38.2,1386
43581.75694,27,38.1,1388.8
43581.76042,27,38.1,1483.8
43581.76389,27,38,1696.2
43581.76736,27,38,1696.4
43581.77083,27,38.2,1694.4
43581.77431,28,38.3,1694.8
43581.77778,28,38.4,1687
43581.78125,28,38.5,1731.8
43581.78472,28,38.5,1791.6
43581.78819,28,38.5,1786
43581.79167,28,38.5,1790.6
43581.79514,28,38.5,1747.8
43581.79861,28,38.5,1731.6
43581.80208,28,38.5,1685.4
43581.80556,29,38.4,1524.2
43581.80903,29,38.1,1530.6
43581.8125,30,38,1562
43581.81597,30,38.1,1464
43581.81944,30,38.2,1624.2
43581.82292,30,38.2,1753.4
43581.82639,30,38.3,1612.4
43581.82986,30,38.3,1534.8
43581.83333,30,38.3,1529.2
43581.83681,30,38.3,1170.2
43581.84028,30,38.2,736.6
43581.84375,30,38.2,784
43581.84722,30,38.2,926
43581.85069,31,38.2,541.4
43581.85417,31,38.2,327.4
43581.85764,31,38.2,1589.6
43581.86111,31,38.1,1650
43581.86458,31,38.1,1650.8
43581.86806,31,38.1,1626.2
43581.87153,31,38.1,1637.2
43581.875,31,38,1613.6
43581.87847,31,38,1609
43581.88194,31,38,1598.8
43581.88542,31,38,1598.8
43581.88889,31,37.9,1601.6
43581.89236,31,37.9,1583.4
43581.89583,31,37.9,1630
43581.89931,31,37.8,1564.8
43581.90278,31,37.8,1562.4
43581.90625,31,37.8,1557.4
43581.90972,31,37.8,1550.4
43581.91319,31,37.7,1550.6
43581.91667,31,37.7,1557
43581.92014,31,37.5,1541.4
43581.92361,31,37.3,1522.2
43581.92708,31,37.2,1548.8
43581.93056,31,37.2,1633.2
43581.93403,31,37.3,1708.2
43581.9375,31,37.3,1894
43581.94097,31,37.3,1949.4
43581.94444,31,37.3,1793.4
43581.94792,31,37.3,1745
43581.95139,32,37.3,1742.2
43581.95486,32,37.3,1735.6
43581.95833,31,37.3,1846
43581.96181,31,36.8,1996.8
43581.96528,31,36.2,1976.2
43581.96875,31,35.8,2007.4
43581.97222,31,35.4,4057
43581.97569,31,34.9,8440.4
43581.97917,31,34.6,8522.8
43581.98264,31,34.3,8701.6
43581.98611,31,34.1,8776
43581.98958,31,33.9,8876.2
43581.99306,31,33.6,8938.4
43581.99653,31,33.4,8918.6
43582,31,33.2,8976.8
43582.00347,31,33,8925.4
43582.00694,31,32.8,8850.2
43582.01042,31,32.8,8904.6
43582.01389,31,32.6,8716.4
43582.01736,31,32.5,8754
43582.02083,31,32.4,8743.6
43582.02431,31,32.3,8562
43582.02778,31,32.3,8560.6
43582.03125,31,32.2,8596.2
43582.03472,31,32.1,8760.4
43582.03819,31,32,8778.2
43582.04167,31,31.9,8872.4
43582.04514,31,32.1,8821
43582.04861,31,32.9,8828.2
43582.05208,32,33.3,8870
43582.05556,32,33.6,8826
43582.05903,33,33.7,3792.4
43582.0625,34,33.9,1878
43582.06597,34,34,1870.4
43582.06944,34,34.1,1869.8
43582.07292,35,34.1,1871.8
43582.07639,35,34.2,1875
43582.07986,35,34.2,1882.6
43582.08333,36,34.3,1878.2
43582.08681,36,34.3,1873.2
43582.09028,36,34.2,1870.8
43582.09375,36,33.6,1877
43582.09722,35,33,1880.6
43582.10069,35,32.6,1880.4
43582.10417,34,32.4,5869.8
43582.10764,34,32.2,8590.2
43582.11111,34,31.9,8675.6
43582.11458,34,31.7,8762.4
43582.11806,34,31.7,8784.4
43582.12153,34,31.5,8764.4
43582.125,34,31.4,8805.6
43582.12847,34,31.3,8841.8
43582.13194,33,31.1,8804.8
43582.13542,33,30.9,8837.2
43582.13889,33,30.9,8791
43582.14236,33,30.8,8668
43582.14583,33,30.6,8685.2
43582.14931,33,30.5,8755.4
43582.15278,33,30.4,8555.8
43582.15625,33,30.3,8557.8
43582.15972,33,30.2,8586.6
43582.16319,33,30.1,8608.4
43582.16667,34,30.1,8647.8
43582.17014,34,30.1,8703.8
43582.17361,34,30.1,8747
43582.17708,34,30,8709
43582.18056,34,29.9,8745.4
43582.18403,34,29.8,8589
43582.1875,34,29.7,8289
43582.19097,34,29.7,8263.6
43582.19444,34,29.6,8219
43582.19792,34,29.6,8259.4
43582.20139,33,30.1,7916.4
43582.20486,34,30.7,7954.4
43582.20833,34,31.1,8796.2
43582.21181,34,31.3,7359.8
43582.21528,34,31.5,1718.2
43582.21875,35,31.7,1709
43582.22222,35,31.7,1706.6
43582.22569,36,31.7,1697.2
43582.22917,37,31.9,1698.2
